tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,match_title,join_key,averageRating,numVotes
tt0035209,movie,Why We Fight,Prelude to War,0,1942,52,"Documentary,War",Prelude to War,preludetowar|1942,7.0,2594.0
tt0035423,movie,Kate & Leopold,Kate & Leopold,0,2001,118,"Comedy,Fantasy,Romance",Kate & Leopold,kateleopold|2001,6.4,94079.0
tt0036152,movie,The Memphis Belle: A Story of a Flying Fortress,The Memphis Belle: A Story of a Flying Fortress,0,1944,45,"Documentary,History,War",The Memphis Belle: A Story of a Flying Fortress,thememphisbelleastoryofaflyingfortress|1944,7.4,2104.0
tt0037404,movie,Tunisian Victory,Tunisian Victory,0,1944,75,"Documentary,War",Tunisian Victory,tunisianvictory|1944,6.6,767.0
tt0044429,movie,The Blazing Sun,Siraa Fil-Wadi,0,1954,105,"Crime,Drama,Romance",The Blazing Sun,theblazingsun|1954,7.2,1777.0
tt0046292,movie,The Sign of Venus,Il segno di Venere,0,1955,97,"Comedy,Drama,Romance",The Sign of Venus,thesignofvenus|1955,6.5,1761.0
tt0047673,movie,White Christmas,White Christmas,0,1954,120,"Comedy,Musical,Romance",White Christmas,whitechristmas|1954,7.6,57025.0
tt0048545,movie,Rebel Without a Cause,Rebel Without a Cause,0,1955,111,Drama,Rebel Without a Cause,rebelwithoutacause|1955,7.6,103463.0
tt0049223,movie,Forbidden Planet,Forbidden Planet,0,1956,98,"Adventure,Sci-Fi",Forbidden Planet,forbiddenplanet|1956,7.5,57283.0
tt0049761,movie,Dark Waters,Siraa Fil-Mina,0,1956,120,"Drama,Romance,Thriller",Dark Waters,darkwaters|1956,6.7,896.0
tt0050817,movie,Scandal in Sorrento,"Pane, amore e.....",0,1955,92,"Comedy,Romance",Scandal in Sorrento,scandalinsorrento|1955,6.5,2751.0
tt0051390,movie,Cairo Station,Bab el-Hadid,0,1958,77,"Crime,Drama",Cairo Station,cairostation|1958,7.5,6234.0
tt0051459,movie,Cat on a Hot Tin Roof,Cat on a Hot Tin Roof,0,1958,108,Drama,Cat on a Hot Tin Roof,catonahottinroof|1958,7.9,57085.0
tt0051658,movie,Gigi,Gigi,0,1958,115,"Comedy,Musical,Romance",Gigi,gigi|1958,6.6,24975.0
tt0053622,movie,BUtterfield 8,BUtterfield 8,0,1960,109,"Drama,Romance",BUtterfield 8,butterfield8|1960,6.3,7986.0
tt0053965,movie,Jis Desh Men Ganga Behti Hai,Jis Desh Men Ganga Behti Hai,0,1960,167,"Drama,Musical,Romance",Jis Desh Men Ganga Behti Hai,jisdeshmengangabehtihai|1960,7.1,532.0
tt0054135,movie,Ocean's Eleven,Ocean's Eleven,0,1960,127,"Comedy,Crime,Music",Ocean's Eleven,oceanseleven|1960,6.5,26131.0
tt0054953,movie,The Guns of Navarone,The Guns of Navarone,0,1961,158,"Action,Adventure,Drama",The Guns of Navarone,thegunsofnavarone|1961,7.5,59807.0
tt0056193,movie,Lolita,Lolita,0,1962,153,"Crime,Drama,Romance",Lolita,lolita|1962,7.5,116241.0
tt0056264,movie,Mutiny on the Bounty,Mutiny on the Bounty,0,1962,178,"Adventure,Drama,History",Mutiny on the Bounty,mutinyonthebounty|1962,7.2,19495.0
tt0056379,movie,Professor,Professor,0,1962,166,"Comedy,Drama,Musical",Professor,professor|1962,6.7,391.0
tt0057357,movie,Saladin,El Naser Salah el Dine,0,1963,194,"Action,Adventure,Biography",Saladin,saladin|1963,7.5,3073.0
tt0058385,movie,My Fair Lady,My Fair Lady,0,1964,170,"Drama,Musical,Romance",My Fair Lady,myfairlady|1964,7.7,107946.0
tt0058547,movie,Sangam,Sangam,0,1964,238,"Drama,Musical,Romance",Sangam,sangam|1964,7.3,2115.0
tt0059037,movie,The Cincinnati Kid,The Cincinnati Kid,0,1965,102,Drama,The Cincinnati Kid,thecincinnatikid|1965,7.2,19685.0
tt0059113,movie,Doctor Zhivago,Doctor Zhivago,0,1965,197,"Drama,Romance,War",Doctor Zhivago,doctorzhivago|1965,7.9,87417.0
tt0060104,movie,Amrapali,Amrapali,0,1966,119,"Drama,History",Amrapali,amrapali|1966,6.6,336.0
tt0061418,movie,Bonnie and Clyde,Bonnie and Clyde,0,1967,111,"Action,Biography,Crime",Bonnie and Clyde,bonnieandclyde|1967,7.7,126953.0
tt0061512,movie,Cool Hand Luke,Cool Hand Luke,0,1967,127,"Crime,Drama",Cool Hand Luke,coolhandluke|1967,8.0,196409.0
tt0062485,movie,Westerplatte Resists,Westerplatte,0,1967,96,"Drama,War",Westerplatte Resists,westerplatteresists|1967,7.0,601.0
tt0062803,movie,Chitty Chitty Bang Bang,Chitty Chitty Bang Bang,0,1968,144,"Adventure,Family,Fantasy",Chitty Chitty Bang Bang,chittychittybangbang|1968,7.0,55196.0
tt0063522,movie,Rosemary's Baby,Rosemary's Baby,0,1968,137,"Drama,Horror",Rosemary's Baby,rosemarysbaby|1968,8.0,258739.0
tt0063803,movie,Who's That Knocking at My Door,Who's That Knocking at My Door,0,1967,90,Drama,Who's That Knocking at My Door,whosthatknockingatmydoor|1967,6.5,10914.0
tt0064038,movie,The Land,Al-ard,0,1970,130,Drama,The Land,theland|1970,8.0,2832.0
tt0064116,movie,Once Upon a Time in the West,C'era una volta il West,0,1968,145,"Drama,Western",Once Upon a Time in the West,onceuponatimeinthewest|1968,8.5,384807.0
tt0064842,movie,Prince,Prince,0,1969,,Romance,Prince,prince|1969,6.8,258.0
tt0065126,movie,True Grit,True Grit,0,1969,128,"Adventure,Drama,Western",True Grit,truegrit|1969,7.4,54063.0
tt0066289,movie,The Cruise,Rejs,0,1970,65,Comedy,The Cruise,thecruise|1970,7.5,3974.0
tt0066921,movie,A Clockwork Orange,A Clockwork Orange,0,1971,136,"Crime,Sci-Fi",A Clockwork Orange,aclockworkorange|1971,8.2,937501.0
tt0067093,movie,Fiddler on the Roof,Fiddler on the Roof,0,1971,181,"Drama,Family,Musical",Fiddler on the Roof,fiddlerontheroof|1971,8.0,52259.0
tt0067992,movie,Willy Wonka & the Chocolate Factory,Willy Wonka & the Chocolate Factory,0,1971,100,"Adventure,Comedy,Family",Willy Wonka & the Chocolate Factory,willywonkathechocolatefactory|1971,7.8,244626.0
tt0068257,movie,Bawarchi,Bawarchi,0,1972,130,"Comedy,Drama,Family",Bawarchi,bawarchi|1972,8.1,4818.0
tt0068562,movie,FTA,FTA,0,1972,103,"Comedy,Documentary,Music",FTA,fta|1972,6.4,526.0
tt0069049,movie,The Other Side of the Wind,The Other Side of the Wind,0,2018,122,Drama,The Other Side of the Wind,theothersideofthewind|2018,6.6,8547.0
tt0069332,movie,Super Fly,Super Fly,0,1972,91,"Action,Crime,Drama",Super Fly,superfly|1972,6.4,9378.0
